song_id,title,artist,genre,tempo,energy,danceability,mood
44,See You Again (feat. Charlie Puth),Wiz Khalifa,Hip-Hop/Rap,118,0.816,0.812,Happy
45,Pony,Ginuwine,R&B/Soul,121,0.792,0.789,Chill
46,Lose You To Love Me,Selena Gomez,Pop,127,0.828,0.881,Happy
47,Pink Pony Club,Chappell Roan,Pop,137,0.741,0.714,Chill
48,Apocalypse,Cigarettes After Sex,Alternative,142,0.635,0.415,Energetic
49,Unwritten,Natasha Bedingfield,Pop,100,0.586,0.893,Chill
50,How to Save a Life (New Version),The Fray,Rock,125,0.881,0.413,Energetic
51,Never Be the Same,Camila Cabello,Pop,131,0.867,0.629,Happy
52,Adventure of a Lifetime,Coldplay,Alternative,108,0.408,0.706,Energetic
53,QUÉ PRETENDES,J Balvin & Bad Bunny,Urbano latino,122,0.535,0.821,Energetic
54,Love Story,Taylor Swift,Country,99,0.677,0.675,Sad
55,Love in the Dark,Adele,Pop,135,0.766,0.655,Energetic
56,Party In the U.S.A.,Miley Cyrus,Pop,137,0.626,0.637,Chill
57,All I Ask,Adele,Pop,119,0.847,0.552,Chill
58,favorite crime,Olivia Rodrigo,Pop,104,0.702,0.754,Happy
59,Hate Me,Ellie Goulding & Juice WRLD,Pop,120,0.682,0.811,Energetic
60,Closer,Ne-Yo,R&B/Soul,90,0.539,0.652,Sad
61,Story of My Life,One Direction,Pop,101,0.727,0.571,Energetic
62,Don’t Blame Me,Taylor Swift,Pop,133,0.867,0.761,Chill
63,Rather Be (feat. Jess Glynne),Clean Bandit,Dance,119,0.856,0.806,Energetic
64,Timber,Pitbull & Kesha,Pop,110,0.803,0.73,Energetic
65,Attention,Charlie Puth,Pop,101,0.752,0.662,Energetic
66,Fix You,Coldplay,Alternative,87,0.509,0.636,Energetic
67,We Don’t Talk Anymore (feat. Selena Gomez),Charlie Puth,Pop,95,0.643,0.578,Chill
68,You Belong With Me,Taylor Swift,Country,110,0.383,0.588,Chill
69,Twisted,Keith Sweat,R&B/Soul,86,0.596,0.539,Happy
70,Burning Blue,Mariah the Scientist,R&B/Soul,78,0.699,0.546,Sad
71,Perfect Duet (with Beyoncé),Ed Sheeran,Pop,95,0.562,0.881,Chill
72,Softcore,The Neighbourhood,Alternative,124,0.849,0.697,Chill
73,Team,Lorde,Alternative,120,0.81,0.454,Chill
74,The Way (feat. Mac Miller),Ariana Grande,Pop,136,0.898,0.74,Energetic
75,Starving (feat. Zedd),Hailee Steinfeld & Grey,Pop,111,0.563,0.675,Energetic
76,Late Night Talking,Harry Styles,Pop,139,0.813,0.749,Energetic
77,No Air,Jordin Sparks & Chris Brown,Pop,138,0.569,0.559,Happy
78,FourFiveSeconds,Rihanna and Kanye West and Paul McCartney,Pop,104,0.773,0.571,Chill
79,Replay,Iyaz,Pop,108,0.762,0.787,Chill
80,Because of You,Ne-Yo,R&B/Soul,80,0.374,0.589,Sad
81,Goodies (feat. Petey Pablo),Ciara,R&B/Soul,74,0.415,0.634,Happy
82,Dog Days Are Over,Florence + the Machine,Alternative,115,0.764,0.568,Energetic
83,Are You Bored Yet? (feat. Clairo),Wallows,Alternative,141,0.509,0.675,Chill
84,I Kissed a Girl,Katy Perry,Pop,134,0.867,0.577,Chill
85,Somebody That I Used to Know (feat. Kimbra),Gotye,Alternative,107,0.58,0.493,Chill
86,Forever (Main Version),Chris Brown,R&B/Soul,71,0.505,0.567,Happy
87,You Found Me,The Fray,Alternative,101,0.845,0.77,Energetic
88,Beggin',Måneskin,Pop,118,0.597,0.775,Energetic
89,no tears left to cry,Ariana Grande,Pop,127,0.708,0.891,Happy
90,Dusk Till Dawn (feat. Sia),ZAYN,Pop,121,0.666,0.604,Happy
91,Little Things,Ella Mai,R&B/Soul,97,0.546,0.551,Sad
92,Let Me Down Slowly,Alec Benjamin,Pop,122,0.857,0.739,Happy
93,Love Somebody,Morgan Wallen,Country,100,0.615,0.385,Happy
94,Getaway Car,Taylor Swift,Pop,135,0.889,0.702,Energetic
95,back to friends,sombr,Indie Rock,98,0.889,0.412,Chill
96,Scared to Be Lonely,Martin Garrix & Dua Lipa,Dance,136,0.721,0.752,Energetic
97,In My Blood,Shawn Mendes,Pop,103,0.583,0.867,Energetic
98,Never Forget You,Zara Larsson & MNEK,Pop,97,0.65,0.863,Energetic
99,The Climb,Miley Cyrus,Soundtrack,134,0.217,0.164,Happy
100,Fingers Crossed,Lauren Spencer Smith,Pop,134,0.897,0.851,Happy
101,Vivir Mi Vida,Marc Anthony,Música tropical,131,0.391,0.45,Chill
102,Last Friday Night (T.G.I.F.),Katy Perry,Pop,134,0.652,0.853,Chill
103,American Girls,Harry Styles,Pop,102,0.585,0.795,Happy
104,Coming Up Roses,Harry Styles,Pop,108,0.789,0.724,Chill
105,Dance No More,Harry Styles,Pop,132,0.801,0.84,Energetic
106,Dynamite,Taio Cruz,Pop,129,0.56,0.826,Energetic
107,Calma (Remix),Pedro Capó & Farruko,Pop Latino,138,0.785,0.763,Energetic
108,Green Light,Lorde,Alternative,140,0.549,0.54,Energetic
109,Chillax (feat. Ky-Mani Marley),Farruko,Urbano latino,127,0.503,0.857,Energetic
110,Dance The Night,Dua Lipa,Pop,137,0.834,0.638,Happy
111,Higher Love,Kygo & Whitney Houston,Pop,139,0.768,0.733,Energetic
112,ceilings,Lizzy McAlpine,Alternative,84,0.835,0.617,Energetic
113,Flowers,Miley Cyrus,Pop,135,0.873,0.562,Happy
114,The One That Got Away,Katy Perry,Pop,113,0.839,0.84,Chill
115,Enséñame a Bailar,Bad Bunny,Latin,106,0.844,0.778,Happy
116,ilomilo,Billie Eilish,Alternative,106,0.632,0.409,Chill
117,Fortnight (feat. Post Malone),Taylor Swift,Pop,104,0.842,0.613,Happy
118,I'm Not Mad,Halsey,Alternative,135,0.503,0.552,Chill
119,Until The End Of Time (with Beyoncé),Justin Timberlake,Pop,107,0.872,0.573,Happy
120,Just Can't Get Enough,Black Eyed Peas,Pop,128,0.881,0.77,Energetic
121,El Farsante (Remix),Ozuna & Romeo Santos,Urbano latino,91,0.873,0.932,Happy
122,MI EX TENÍA RAZÓN,KAROL G,Latin,99,0.726,0.827,Energetic
123,After Hours,The Weeknd,R&B/Soul,130,0.429,0.584,Chill
124,Hands to Myself,Selena Gomez,Pop,104,0.661,0.605,Energetic
125,Leave Before You Love Me,Marshmello & Jonas Brothers,Pop,140,0.641,0.735,Happy
126,Meet Me Halfway,Black Eyed Peas,Pop,111,0.726,0.861,Happy
127,Diamonds,Rihanna,Pop,97,0.742,0.701,Chill
128,Mr. Blue Sky,Electric Light Orchestra,Rock,117,0.855,0.357,Energetic
129,Impossible,James Arthur,Pop,100,0.688,0.582,Chill
130,You Are the Reason,Calum Scott,Pop,140,0.552,0.739,Happy
131,Sports car,Tate McRae,Pop,101,0.828,0.657,Energetic
132,Love Me Harder,Ariana Grande & The Weeknd,Pop,130,0.672,0.562,Chill
133,You Know You Like It,DJ Snake & AlunaGeorge,Dance,119,0.724,0.822,Happy
134,The Cure,Lady Gaga,Pop,120,0.774,0.821,Happy
135,July,Noah Cyrus,Pop,140,0.622,0.743,Happy
136,Elastic Heart,Sia,Pop,115,0.822,0.711,Energetic
137,Dame Tu Calor,Eslabon Armado,Música Mexicana,109,0.728,0.691,Chill
138,Stitches,Shawn Mendes,Pop,99,0.892,0.623,Happy
139,Alejandro,Lady Gaga,Pop,100,0.643,0.593,Happy
140,What About Us,P!nk,Pop,122,0.742,0.755,Happy
141,Ocean,KAROL G,Urbano latino,127,0.669,0.972,Energetic
142,Piano Man,Billy Joel,Rock,104,0.903,0.685,Chill
143,Despacito,Luis Fonsi & Daddy Yankee,Pop Latino,138,0.864,0.825,Energetic
144,Bed Chem,Sabrina Carpenter,Pop,95,0.75,0.866,Energetic
145,Ridin' Solo,Jason Derulo,Pop,111,0.722,0.796,Energetic
146,Pop,Vicco,Pop,114,0.687,0.669,Happy
147,Stacy's Mom,Fountains Of Wayne,Pop,128,0.774,0.861,Chill
148,Part of Me,Katy Perry,Pop,109,0.821,0.595,Chill
149,Solo Con Verte,Banda MS de Sergio Lizárraga,Música Mexicana,122,0.398,0.397,Happy
150,Stargazing,Myles Smith,Singer/Songwriter,93,0.426,0.62,Energetic
151,I Know You,Faye Webster,Alternative,114,0.758,0.725,Sad
152,Whistle,Flo Rida,Hip-Hop/Rap,76,0.625,0.677,Energetic
153,Here With Me,d4vd,Alternative,141,0.56,0.733,Chill
154,Just a Girl,No Doubt,Pop,118,0.751,0.713,Chill
155,La Bachata,Manuel Turizo,Urbano latino,115,0.64,0.889,Energetic
156,"Quevedo: Bzrp Music Sessions, Vol. 52/66",Bizarrap & Quevedo,Hip-Hop/Rap,109,0.523,0.681,Chill
157,Down Under,Men At Work,Rock,107,0.923,0.68,Energetic
158,Die Young,Kesha,Pop,133,0.845,0.731,Energetic
159,Satellite,Harry Styles,Pop,139,0.867,0.667,Chill
160,With You,Chris Brown,R&B/Soul,84,0.774,0.531,Chill
161,Take On Me,a-ha,Pop,133,0.657,0.81,Happy
162,No Time To Die,Billie Eilish,Alternative,124,0.642,0.772,Sad
163,Your Song,Elton John,Pop,118,0.651,0.899,Happy
164,willow,Taylor Swift,Alternative,95,0.491,0.761,Chill
165,Love Someone,Lukas Graham,Pop,123,0.586,0.801,Chill
166,Hawái,Maluma,Urbano latino,126,0.854,0.891,Energetic
167,Pocketful of Sunshine,Natasha Bedingfield,Pop,107,0.766,0.577,Energetic
168,we can't be friends (wait for your love),Ariana Grande,Pop,126,0.809,0.787,Chill
169,Skyfall,Adele,Pop,138,0.631,0.69,Energetic
170,Take a Bow,Rihanna,Pop,102,0.823,0.65,Chill
171,Slow It Down,Benson Boone,Pop,118,0.805,0.88,Happy
172,Buy U a Drank (Shawty Snappin') [feat. Yung Joc],T-Pain,Hip-Hop/Rap,102,0.745,0.781,Chill
173,All the Small Things,blink-182,Rock,122,0.754,0.583,Chill
174,No Ordinary Love,Sade,R&B/Soul,85,0.583,0.649,Happy
175,BLUE,Billie Eilish,Alternative,129,0.612,0.504,Energetic
176,Wake Me Up Before You Go-Go,Wham!,Pop,107,0.818,0.87,Happy
177,Trumpets,Jason Derulo,Pop,123,0.792,0.659,Energetic
178,Say It Right,Nelly Furtado,Pop,96,0.62,0.557,Happy
179,"Jumpin', Jumpin'",Destiny's Child,R&B/Soul,82,0.48,0.465,Sad
180,People,Libianca,Afro-Beat,112,0.546,0.57,Chill
181,Running Up That Hill (A Deal With God) [2018 Remaster],Kate Bush,Pop,98,0.729,0.868,Chill
182,Survivor,Destiny's Child,R&B/Soul,91,0.459,0.527,Happy
183,Locked Away (feat. Adam Levine),R. City,Pop,113,0.665,0.775,Energetic
184,Work It,Missy Elliott,Hip-Hop/Rap,105,0.584,0.608,Happy
185,Don't Call Me Up,Mabel,Pop,95,0.633,0.737,Energetic
186,Savin' Me,Nickelback,Rock,126,0.709,0.557,Happy
187,Every Breath You Take (Remastered 2003),The Police,Rock,160,0.635,0.592,Energetic
188,Death By A Thousand Cuts,Taylor Swift,Pop,101,0.704,0.785,Happy
189,He Wasn't Man Enough,Toni Braxton,R&B/Soul,124,0.739,0.559,Sad
190,Nonsense,Sabrina Carpenter,Pop,118,0.899,0.596,Happy
191,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,Dance,126,0.852,0.952,Happy
192,"Dear Maria, Count Me In",All Time Low,Alternative,143,0.591,0.695,Sad
193,So Easy (To Fall In Love),Olivia Dean,Pop,125,0.672,0.778,Energetic
194,Head & Heart (feat. MNEK),Joel Corry,Dance,115,0.823,0.793,Happy
195,Take You There,Sean Kingston,R&B/Soul,79,0.581,0.483,Happy
196,1 Thing,Amerie,R&B/Soul,87,0.35,0.701,Sad
197,Little Do You Know,Alex & Sierra,Pop,107,0.593,0.784,Energetic
198,"Just Like Fire (From ""Alice Through the Looking Glass"")",P!nk,Pop,137,0.844,0.807,Energetic
199,Obsessed,Mariah Carey,Pop,123,0.6,0.677,Happy
200,Sigues Con Él,"Dímelo Flow, Arcángel & Sech",Hip-Hop/Rap,89,0.524,0.832,Chill
201,Rock,Stepz,Hip-Hop/Rap,89,0.599,0.642,Happy
202,Millionaire,Chris Stapleton,Country,97,0.642,0.486,Happy
203,Misery Business,Paramore,Alternative,127,0.836,0.505,Chill
204,Highway to Hell,AC/DC,Hard Rock,98,0.793,0.511,Happy
205,Paint It Black,The Rolling Stones,Rock,134,0.642,0.435,Energetic
206,Stressed Out,twenty one pilots,Alternative,131,0.597,0.665,Chill
207,Can't Stop,Red Hot Chili Peppers,Alternative,149,0.804,0.377,Sad
208,Iris,The Goo Goo Dolls,Pop,116,0.725,0.844,Happy
209,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,Alternative,148,0.696,0.551,Chill
210,Santeria,Sublime,Alternative,126,0.753,0.373,Chill
211,Rock,SEVENTEEN,K-Pop,121,0.869,0.672,Chill
212,Basket Case,Green Day,Alternative,130,0.728,0.725,Sad
213,Everybody Wants to Rule the World,Tears for Fears,Pop,116,0.576,0.667,Energetic
214,Rockin' Around the Christmas Tree (Single),Brenda Lee,Holiday,80,0.833,0.371,Energetic
215,Ain't No Rest for the Wicked,Cage the Elephant,Alternative,126,0.713,0.411,Chill
216,Beat It,Michael Jackson,Pop,126,0.55,0.754,Happy
217,Smells Like Teen Spirit,Nirvana,Rock,126,0.887,0.606,Happy
218,Natural,Imagine Dragons,Alternative,101,0.509,0.716,Chill
219,Fade into You,Mazzy Star,Pop,109,0.624,0.709,Energetic
220,Hotel California,Eagles,Rock,101,0.647,0.366,Chill
221,Death of a Bachelor,Panic! At the Disco,Alternative,99,0.547,0.613,Sad
222,Bring Me to Life,Evanescence,Hard Rock,131,0.853,0.479,Chill
223,After Dark,Mr.Kitty,Alternative,150,0.847,0.622,Energetic
224,Ballad Of A Southern Man,Whiskey Myers,Country,87,0.414,0.633,Sad
225,Wagon Wheel,Darius Rucker,Country,128,0.462,0.674,Happy
226,Counting Stars,OneRepublic,Pop,128,0.572,0.639,Happy
227,"Hey Look Ma, I Made It",Panic! At the Disco,Alternative,95,0.591,0.6,Energetic
228,Freaks,Surf Curse,Alternative,82,0.714,0.412,Energetic
229,Thunderstruck,AC/DC,Hard Rock,132,0.684,0.442,Happy
230,Californication,Red Hot Chili Peppers,Alternative,102,0.824,0.496,Chill
231,Good Die Young,Koe Wetzel,Country,126,0.522,0.377,Chill
232,Where Is My Mind? (2007 Remaster),Pixies,Alternative,113,0.453,0.358,Chill
233,Dani California,Red Hot Chili Peppers,Alternative,120,0.472,0.794,Energetic
234,Helena,My Chemical Romance,Alternative,90,0.769,0.656,Sad
235,Rock and a Hard Place,Bailey Zimmerman,Country,85,0.573,0.443,Happy
236,California Dreamin' (Single),The Mamas & The Papas,Pop,99,0.551,0.648,Happy
237,Sweet Caroline,Neil Diamond,Pop,119,0.57,0.72,Chill
238,Please Come Home for Christmas,Eagles,Holiday,117,0.706,0.818,Happy
239,Danger Zone,Kenny Loggins,Soundtrack,137,0.6,0.144,Sad
240,Don't Threaten Me with a Good Time,Panic! At the Disco,Alternative,102,0.724,0.546,Sad
241,Bitter Sweet Symphony,The Verve,Pop,137,0.782,0.637,Happy
242,Buddy Holly,Weezer,Pop,112,0.872,0.653,Happy
243,Otherside,Red Hot Chili Peppers,Alternative,87,0.615,0.557,Sad
244,Victorious,Panic! At the Disco,Alternative,102,0.773,0.665,Energetic
245,Gypsy,Fleetwood Mac,Pop,106,0.698,0.567,Energetic
246,Everlong,Foo Fighters,Rock,143,0.649,0.577,Chill
247,Total Eclipse of the Heart,Bonnie Tyler,Adult Contemporary,88,0.378,0.791,Happy
248,Uma Thurman,Fall Out Boy,Alternative,107,0.455,0.49,Chill
249,The Night We Met,Lord Huron,Indie Rock,150,0.912,0.429,Chill
250,I Don't Want to Miss a Thing,Aerosmith,Soundtrack,68,0.505,0.159,Happy
251,Rockstar,Nickelback,Rock,93,0.798,0.508,Happy
252,Yellow,Coldplay,Alternative,136,0.743,0.462,Energetic
253,Say Amen (Saturday Night),Panic! At the Disco,Alternative,113,0.562,0.632,Chill
254,Enter Sandman,Metallica,Metal,172,0.862,0.324,Energetic
255,Everywhere (2017 Remaster),Fleetwood Mac,Pop,115,0.748,0.733,Chill
256,Emperor's New Clothes,Panic! At the Disco,Alternative,86,0.493,0.655,Chill
257,Thnks fr th Mmrs,Fall Out Boy,Alternative,133,0.501,0.616,Chill
258,Snow (Hey Oh),Red Hot Chili Peppers,Alternative,135,0.732,0.608,Chill
259,Dark Necessities,Red Hot Chili Peppers,Alternative,134,0.524,0.594,Sad
260,High and Dry,Radiohead,Alternative,95,0.547,0.423,Energetic
261,Wanna Be Loved,The Red Clay Strays,Country,102,0.511,0.726,Sad
262,Loud and Heavy (Live),Cody Jinks,Country,118,0.564,0.566,Happy
263,Wish I Knew You,The Revivalists,Alternative,87,0.577,0.615,Chill
264,Starman (2012 Remaster),David Bowie,Pop,116,0.814,0.891,Energetic
265,Hopelessly Devoted to You,Olivia Newton-John,Musicals,86,0.48,0.381,Energetic
266,(Sittin' On) The Dock of the Bay,Otis Redding,R&B/Soul,97,0.382,0.736,Happy
267,Lady May,Tyler Childers,Country,107,0.4,0.629,Sad
268,Before He Cheats,Carrie Underwood,Pop,134,0.837,0.852,Energetic
269,Loser,Beck,Pop,115,0.819,0.758,Happy
270,Reelin' In The Years,Steely Dan,Pop,109,0.71,0.649,Happy
271,Pumped Up Kicks,Foster the People,Alternative,81,0.765,0.385,Energetic
272,Under the Bridge,Red Hot Chili Peppers,Alternative,142,0.558,0.496,Chill
273,Springsteen,Eric Church,Country,138,0.4,0.773,Happy
274,Locked Out of Heaven,Bruno Mars,Pop,99,0.824,0.627,Happy
275,Africa,Toto,Rock,151,0.696,0.373,Chill
276,Crocodile Rock,Elton John,Pop,106,0.56,0.555,Happy
277,How You Remind Me,Nickelback,Rock,100,0.612,0.422,Energetic
278,Rockin' Around the Christmas Tree (Single Version),Brenda Lee,Holiday,137,0.355,0.535,Energetic
279,By the Way,Red Hot Chili Peppers,Alternative,87,0.658,0.556,Chill
280,Viva La Vida,Coldplay,Alternative,83,0.562,0.607,Energetic
281,Supermassive Black Hole,Muse,Alternative,101,0.83,0.786,Energetic
282,Freakin' out on the Interstate,Briston Maroney,Alternative,129,0.563,0.705,Chill
283,The Phoenix,Fall Out Boy,Alternative,126,0.566,0.799,Chill
284,Call Me When You're Sober,Evanescence,Pop,115,0.84,0.757,Chill
285,Dreams,Fleetwood Mac,Rock,91,0.806,0.597,Energetic
286,All Around Me,Flyleaf,Alternative,115,0.51,0.603,Chill
287,You Shook Me All Night Long,AC/DC,Hard Rock,163,0.879,0.714,Energetic
288,Bohemian Rhapsody,Queen,Rock,157,0.64,0.495,Happy
289,Beyond,Leon Bridges,R&B/Soul,118,0.604,0.402,Chill
290,Little Lies (2017 Remaster),Fleetwood Mac,Pop,109,0.89,0.707,Chill
291,Back In Black,AC/DC,Hard Rock,152,0.768,0.519,Happy
292,That's Why We Fight,Ella Langley & Koe Wetzel,Country,119,0.736,0.772,Happy
293,Gold On the Ceiling,The Black Keys,Alternative,120,0.794,0.782,Sad
294,Landslide (Remastered),Fleetwood Mac,Rock,156,0.714,0.406,Energetic
295,Seven Nation Army,The White Stripes,Rock,107,0.835,0.406,Energetic
296,Hallelujah,Panic! At the Disco,Alternative,101,0.493,0.643,Sad
297,I Wish,Skee-Lo,Hip-Hop/Rap,120,0.891,0.742,Energetic
298,la di die (feat. Jaden Hossler),Nessa Barrett,Pop,112,0.66,0.894,Happy
299,The Chain,Fleetwood Mac,Rock,106,0.768,0.679,Happy
300,Cigarette Daydreams,Cage the Elephant,Alternative,142,0.536,0.793,Chill
301,Give It Away,Red Hot Chili Peppers,Alternative,83,0.666,0.603,Energetic
302,Don't Stop Believin' (2024 Remaster),Journey,Rock,95,0.9,0.456,Happy
303,The Perfect Girl,Mareux,Alternative,105,0.753,0.571,Sad
304,Do I Wanna Know?,Arctic Monkeys,Alternative,115,0.624,0.675,Sad
305,Sharks,Imagine Dragons,Alternative,145,0.47,0.428,Sad
306,Soul to Squeeze,Red Hot Chili Peppers,Alternative,150,0.515,0.575,Chill
307,505,Arctic Monkeys,Alternative,122,0.457,0.427,Energetic
308,All Summer Long,Kid Rock,Hard Rock,149,0.844,0.498,Energetic
309,Heart on Fire,Eric Church,Country,126,0.763,0.7,Sad
310,It's My Life,Bon Jovi,Pop,126,0.662,0.626,Energetic
311,Chop Suey!,System Of A Down,Hard Rock,160,0.822,0.725,Happy
312,Sex On Fire,Kings of Leon,Alternative,144,0.712,0.568,Chill
313,In the End,LINKIN PARK,Hard Rock,94,0.683,0.656,Chill
314,Head Over Heels,Tears for Fears,Pop,137,0.865,0.678,Energetic
315,Outlaws like Us,Riley Green,Country,104,0.515,0.791,Chill
316,Santa Monica,Everclear,Pop,119,0.785,0.818,Happy
317,Mr. Brightside,The Killers,Rock,145,0.618,0.548,Happy
318,Rock a Bye Baby,Baby Lullaby Academy,Children's Music,109,0.832,0.372,Chill
319,Eye of the Storm (feat. Gabe Real),Ryan Stevenson,Christian Pop,132,0.666,0.676,Energetic
320,Crushcrushcrush,Paramore,Alternative,124,0.729,0.594,Sad
321,Animal I Have Become,Three Days Grace,Hard Rock,115,0.711,0.399,Happy
322,It Takes Two,Rob Base & DJ EZ Rock,Hip-Hop/Rap,83,0.663,0.806,Energetic
323,Slide,The Goo Goo Dolls,Pop,137,0.641,0.819,Chill
324,Something's Gonna Kill Me,Corey Kent,Country,140,0.754,0.749,Chill
325,Sweet Home Alabama,Lynyrd Skynyrd,Rock,136,0.885,0.487,Happy
326,Rock With You,Michael Jackson,Pop,96,0.68,0.599,Energetic
327,The Sound of Silence,Disturbed,Hard Rock,107,0.64,0.733,Happy
328,Hella Good,No Doubt,Pop,130,0.61,0.602,Energetic
329,Crazy,Aerosmith,Pop,105,0.614,0.573,Chill
330,Radioactive,Imagine Dragons,Alternative,108,0.585,0.584,Chill
331,Name,The Goo Goo Dolls,Pop,100,0.825,0.829,Happy
332,I Don't Care,Fall Out Boy,Alternative,126,0.606,0.648,Energetic
333,Welcome to the Black Parade,My Chemical Romance,Alternative,83,0.603,0.434,Sad
334,Livin' On a Prayer,Bon Jovi,Hard Rock,130,0.93,0.438,Energetic
335,Eye of the Tiger,Survivor,Rock,92,0.926,0.591,Chill
336,Need You Now,Lady A,Country,119,0.56,0.783,Happy
337,Alone Together,Fall Out Boy,Alternative,110,0.841,0.68,Energetic
338,Irresistible,Fall Out Boy,Alternative,132,0.78,0.539,Energetic
339,Chamber of Reflection,Mac DeMarco,Alternative,126,0.726,0.418,Chill
340,Drops of Jupiter (Tell Me),Train,Rock,119,0.631,0.399,Chill
341,Cringe,Matt Maeson,Alternative,109,0.502,0.673,Energetic
342,Stellar,Incubus,Alternative,80,0.491,0.422,Energetic
343,All Out of Love,Air Supply,Pop,139,0.887,0.723,Happy
344,Take It Easy,Eagles,Rock,110,0.926,0.673,Chill
345,Higher Ground,Red Hot Chili Peppers,Alternative,97,0.705,0.754,Chill
346,Maneater,Daryl Hall & John Oates,Pop,117,0.623,0.596,Energetic
347,Sparks,Coldplay,Alternative,99,0.614,0.779,Chill
348,Sexual Healing,Marvin Gaye,R&B/Soul,115,0.711,0.479,Chill
349,Promiscuous (feat. Timbaland),Nelly Furtado,Pop,112,0.555,0.643,Energetic
350,Starlight,Muse,Alternative,83,0.542,0.623,Energetic
351,Lean on Me,Bill Withers,Pop,100,0.552,0.638,Energetic
352,In the Air Tonight,Phil Collins,Rock,110,0.642,0.595,Chill
353,Personal Jesus,Depeche Mode,Pop,100,0.897,0.838,Energetic
354,Simple Man,Lynyrd Skynyrd,Rock,100,0.697,0.416,Happy
355,Sweet Child O' Mine,Guns N' Roses,Rock,151,0.664,0.535,Happy
356,Space Oddity (2015 Remaster),David Bowie,Pop,125,0.759,0.784,Chill
357,Lovers Rock,TV Girl,Pop,112,0.828,0.62,Chill
358,Numb,LINKIN PARK,Hard Rock,122,0.823,0.631,Chill
359,Time in a Bottle,Jim Croce,Singer/Songwriter,98,0.549,0.421,Happy
360,The Scientist,Coldplay,Alternative,91,0.818,0.525,Sad
361,Use Somebody,Kings of Leon,Alternative,149,0.501,0.636,Sad
362,More Than a Feeling,Boston,Rock,107,0.938,0.549,Happy
